Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
97939.0390625,97950.765625,97769.3359375,97769.3359375,0
98068.265625,98068.265625,97904.9765625,97904.9765625,7860224
97926.453125,98076.8046875,97876.1015625,98076.8046875,0
98033.0390625,98048.421875,97906.5390625,97920.46875,3141632
98250.4375,98303.8046875,98024.765625,98024.765625,90042368
98201.3359375,98426.7578125,98201.3359375,98403.8125,211947520
98235.6875,98342.5,98185.9296875,98243.7890625,0
98303.5859375,98357.0859375,98209.3515625,98209.3515625,0
98569.7265625,98569.7265625,98298.8125,98298.8125,47464448
98616.4609375,98616.4609375,98455.53125,98586.1328125,140976128
98611.078125,98624.609375,98562.515625,98624.609375,56102912
98508.21875,98594.4140625,98508.21875,98594.4140625,19693568
98480.4453125,98516.9609375,98361.4140625,98516.9609375,20766720
98408.0546875,98535.5,98381.7265625,98500.1328125,9314304
98298.46875,98398.015625,98295.296875,98398.015625,28467200
98245.7578125,98332.4453125,98232.640625,98289.8984375,13381632
98304.8359375,98350.265625,98236.5703125,98290.125,0
98231.3984375,98290.765625,98144.546875,98290.765625,0
98111.734375,98229.859375,98058.3359375,98217.5234375,0
98286.078125,98295.40625,98125.6640625,98125.6640625,0
98361.5546875,98361.5546875,98274.8359375,98288.8984375,0
98274.171875,98376.515625,98268.34375,98341.3515625,0
98070.4609375,98271.0390625,98054.84375,98271.0390625,9408512
98347.0625,98347.0625,98046.34375,98046.34375,114044928
98270.0390625,98400.296875,98270.0390625,98361.4140625,100319232
98356.15625,98377.796875,98158.9609375,98263.984375,243552256
98316.4609375,98363.65625,98312.3046875,98338.796875,218386432
98458.390625,98473.40625,98322.0703125,98322.0703125,82903040
98481.609375,98504.5234375,98402.4375,98450.3359375,49926144
98300.8125,98479.3125,98300.8125,98478.140625,23355392
98408.9375,98470.34375,98302.28125,98311.34375,21426176
98445.46875,98445.46875,98349.515625,98410.4296875,42229760
98476.6015625,98522.921875,98422.1328125,98491.2265625,9596928
98373.25,98499.4453125,98366.0703125,98499.4453125,0
98206.0078125,98372.1171875,98206.0078125,98372.1171875,0
98171.4375,98211.1875,98078.953125,98195.890625,18534400
98255.7421875,98270.1484375,98185.265625,98194.8984375,0
98001.4375,98277.6328125,97966.65625,98270.609375,0
98056.296875,98056.296875,97985.1875,98010.0390625,59666432
98052.171875,98103.015625,98039.4765625,98066.125,6086656
97972.9296875,98060.90625,97972.9296875,98058.5703125,0
97990.890625,98033.578125,97923.5546875,97991.359375,0
97758.375,97983.9140625,97758.375,97983.9140625,0
97820.84375,97870.6484375,97604.171875,97699.78125,241692672
97651.375,97829.8359375,97493.28125,97829.8359375,270790656
97591.015625,97728.4140625,97444.09375,97603.328125,341442560
97613.21875,97627.953125,97427.3828125,97569.25,249335808
97374.96875,97626.2421875,97374.96875,97626.2421875,234037248
97456.4296875,97497.375,97374.4375,97389.2734375,355667968
97164.1953125,97454.8828125,97164.1953125,97421.25,168505344
96592.421875,97246.2421875,96592.421875,97246.2421875,1259507712
96905.921875,96912.4140625,96530.5,96693.453125,1100955648
97299.6640625,97381.046875,96851.8125,96915.265625,774811648
97592.671875,97596.53125,97308.890625,97311.390625,213676032
97336.171875,97706.28125,97336.171875,97587.84375,256987136
97300.7265625,97482.46875,97232.9296875,97285.0,213483520
96989.390625,97295.015625,96989.390625,97295.015625,91148288
96724.6484375,96891.796875,96702.375,96862.234375,411041792
97065.703125,97134.2109375,96682.3671875,96682.3671875,447590400
97145.78125,97176.1171875,96927.0234375,96972.671875,128884736
96890.828125,97119.921875,96848.78125,97119.921875,60850176
96703.5,96968.7265625,96545.78125,96968.7265625,238604288
96367.328125,96702.4921875,96284.71875,96702.4921875,612839424
96028.0625,96386.90625,96016.5859375,96386.90625,400699392
96237.015625,96295.6484375,95862.9296875,95966.265625,915136512
96413.1015625,96433.328125,96041.0546875,96183.3828125,0
96471.8515625,96510.828125,96289.0390625,96510.828125,0
96427.1953125,96725.7734375,96427.1953125,96507.8984375,0
96037.4453125,96432.296875,96037.4453125,96432.296875,0
95853.2109375,96014.3046875,95853.2109375,95951.640625,0
95801.7890625,96003.828125,95801.7890625,95881.15625,65933312
95898.3125,96065.9765625,95795.4453125,95816.4609375,193806336
96100.25,96136.0859375,95888.9296875,95888.9296875,9854976
96248.2578125,96259.796875,96087.96875,96087.96875,56975360
96358.796875,96398.0,96246.6875,96246.6875,149348352
96557.125,96593.3203125,96401.3671875,96416.421875,132530176
96274.234375,96590.4140625,96200.40625,96590.4140625,201768960
96286.359375,96389.8046875,96210.1328125,96324.1015625,179601408
96383.5078125,96396.203125,96268.8046875,96281.1171875,2129920
96392.078125,96398.5234375,96355.6171875,96397.1796875,0
96365.4140625,96373.4140625,96258.1171875,96359.125,0
96732.921875,96732.921875,96385.875,96392.265625,0
96795.1875,96805.546875,96721.0,96721.0,0
96827.96875,96867.8203125,96735.2734375,96765.828125,19726336
96662.4375,96867.3515625,96662.4375,96867.3515625,10350592
96753.03125,96810.8671875,96676.9609375,96676.9609375,43679744
96894.2734375,96894.2734375,96718.3046875,96751.3125,108498944
97034.5390625,97034.5390625,96888.078125,96928.7734375,86016000
97415.875,97415.875,97039.484375,97039.484375,210546688
97605.90625,97858.0,97500.046875,97500.046875,545570816
97743.25,97758.6328125,97441.3671875,97618.8125,517554176
98020.0234375,98020.0234375,97619.3046875,97721.25,196653056
98399.9609375,98399.9609375,98036.2734375,98036.2734375,680738816
98181.34375,98420.5625,98099.1484375,98316.7578125,521875456
