Close,High,Low,Open,Volume
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
40201.953125,40218.01953125,39770.62109375,39877.59375,261240832
39794.4140625,40158.6328125,39785.09765625,40158.6328125,485638144
39737.5,39861.29296875,39704.3359375,39768.77734375,0
39578.9296875,39765.1875,39563.7890625,39733.1796875,149598208
39640.20703125,39708.58203125,39554.08203125,39591.54296875,124014592
39761.859375,39787.6171875,39636.171875,39636.171875,231684096
39842.14453125,39847.8515625,39647.890625,39761.953125,203042816
39936.609375,40104.70703125,39799.4921875,39841.16796875,152778752
39937.8984375,40072.7890625,39852.16015625,39942.875,0
40009.64453125,40062.11328125,39893.3359375,39928.375,0
40329.97265625,40483.78515625,39976.875,40003.37890625,0
40180.40625,40320.38671875,40112.48828125,40320.38671875,0
40017.5,40271.26953125,39995.66796875,40186.12890625,0
39945.3671875,40077.32421875,39892.6328125,40010.06640625,46841856
39833.20703125,40161.859375,39768.96484375,39962.38671875,0
40020.890625,40086.10546875,39854.37109375,39898.75390625,0
40148.47265625,40156.3515625,39917.00390625,40032.5859375,0
40090.10546875,40170.71875,40040.81640625,40164.35546875,0
39728.84375,40121.78515625,39619.5625,40121.78515625,0
39806.59765625,39809.68359375,39645.1171875,39742.14453125,0
39633.53515625,39958.29296875,39508.796875,39787.90234375,0
39754.0078125,39754.0078125,39548.15625,39548.15625,93120512
39849.36328125,39873.453125,39744.671875,39752.18359375,0
40073.890625,40155.6171875,39839.25390625,39859.4765625,0
40150.88671875,40154.67578125,40003.7421875,40075.55078125,0
39982.3046875,40153.39453125,39938.1171875,40153.39453125,0
39923.01953125,40055.34375,39920.35546875,39966.26953125,0
39998.15234375,40073.640625,39928.33984375,39928.33984375,0
39943.10546875,40009.83984375,39910.75390625,40003.63671875,0
39858.38671875,39947.6875,39779.9140625,39945.29296875,0
40025.46875,40025.46875,39858.9375,39858.9375,0
40096.54296875,40106.41015625,39978.13671875,40018.421875,0
40051.83203125,40144.00390625,40013.2421875,40098.65625,0
40026.3046875,40107.30859375,40026.3046875,40059.24609375,0
40091.23046875,40091.23046875,39967.70703125,40014.6796875,0
40152.125,40254.17578125,40075.53515625,40090.2890625,66689024
39869.59375,40242.34375,39843.3203125,40161.94140625,159258624
39909.109375,39940.265625,39794.40625,39869.1484375,0
39990.7578125,40067.42578125,39884.921875,39909.671875,0
39830.1875,40007.390625,39640.21484375,39999.0078125,0
39687.0,39820.66015625,39674.4921875,39796.85546875,106539008
39799.140625,39808.6484375,39545.6640625,39682.3359375,209827840
39849.16796875,39986.03515625,39744.2421875,39793.0078125,194283520
39950.9453125,39969.8984375,39735.91015625,39836.265625,58537984
39636.14453125,39980.28125,39636.14453125,39962.18359375,0
39916.625,39916.625,39780.09375,39793.2109375,0
39959.33984375,39959.33984375,39891.35546875,39907.36328125,0
39937.8046875,39966.62109375,39893.98046875,39954.05859375,0
39885.53515625,39949.4921875,39885.53515625,39936.81640625,0
39919.1015625,39948.18359375,39825.69140625,39884.65625,0
40121.92578125,40180.0546875,39925.8203125,39925.8203125,396767232
40054.82421875,40170.59375,40053.421875,40122.0546875,0
40123.0859375,40181.91015625,40050.48046875,40051.75,0
40093.109375,40161.2421875,40071.01171875,40129.03515625,0
39998.0703125,40134.65234375,39994.3984375,40093.5703125,0
39958.69921875,40011.828125,39902.55078125,39993.24609375,212871168
40115.41796875,40152.40234375,39962.73828125,39962.73828125,131334144
40091.71484375,40364.0546875,40091.71484375,40114.38671875,414404608
40703.53125,40712.9140625,40062.43359375,40062.43359375,1031471104
41279.234375,41299.84375,40678.625,40678.625,1504647168
41129.71484375,41463.58203125,41087.71875,41272.875,970024960
41017.55859375,41190.4375,40942.30859375,41125.046875,85553152
41474.5,41474.5,41004.79296875,41004.79296875,267491328
41400.3671875,41541.41015625,41223.046875,41541.41015625,639991808
41957.8984375,41973.21484375,41400.65625,41400.65625,1201637376
41901.0,41989.38671875,41765.7265625,41952.96484375,323250176
42093.23046875,42164.74609375,41846.2734375,41907.984375,85852160
42022.640625,42103.01953125,41954.46484375,42096.609375,240123904
41965.0859375,42209.38671875,41850.86328125,42058.94140625,340680704
41996.3984375,42034.78515625,41881.8671875,41977.68359375,0
41911.59765625,42005.25390625,41838.3359375,42000.171875,303376384
41856.6875,41942.0703125,41850.21875,41903.2578125,8779776
41790.2265625,41858.55859375,41725.16796875,41815.625,188391424
41817.78515625,41926.40625,41778.94140625,41786.20703125,7059456
41846.00390625,41890.71484375,41814.390625,41814.390625,0
41809.05078125,41859.82421875,41774.5234375,41844.50390625,0
41847.3515625,41871.1328125,41802.4296875,41812.65234375,0
41765.06640625,41867.6171875,41754.3203125,41844.27734375,0
41719.5703125,41809.12109375,41719.5703125,41766.37109375,0
41691.609375,41725.1875,41622.109375,41710.40234375,0
41462.734375,41706.1484375,41456.19140625,41706.1484375,34424832
41686.42578125,41727.8671875,41431.28125,41472.2109375,0
41753.46875,41782.91015625,41662.23828125,41672.26953125,0
41757.62890625,41782.58984375,41716.65625,41752.3984375,0
41756.44140625,41797.0703125,41717.12890625,41758.97265625,0
41729.98046875,41794.45703125,41727.88671875,41752.41015625,0
41751.07421875,41817.22265625,41737.1015625,41739.61328125,0
41817.4375,41886.7109375,41750.3203125,41761.0234375,0
41818.60546875,41893.54296875,41801.40625,41816.70703125,0
41780.78515625,41839.90625,41780.78515625,41813.1015625,0
41793.32421875,41810.79296875,41753.984375,41785.515625,0
41915.40625,41965.56640625,41791.95703125,41793.109375,0
42070.8828125,42070.8828125,41914.578125,41914.578125,0
